amazon-corretto-11	amazoncorretto11jdk
amazon-corretto-17	amazoncorretto17jdk
amazon-corretto-21	amazoncorretto21jdk
amazon-corretto-22	amazoncorretto22jdk
amazon-corretto-8	amazoncorretto8jdk
anaconda-navigator	anaconda
apache-netbeans-15	apachenetbeans
app-cleaner-and-uninstaller	appcleaner
atlassian-companion	atlassiancompanion
automounter	automounter
aws-cli	awscli2
azul-zulu-jdk-11	zulujdk11
azul-zulu-jdk-17	zulujdk17
azul-zulu-jdk-21	zulujdk21
azul-zulu-jdk-8	zulujdk8
backgrounds	backgrounds
beam-studio	beamstudio
brosix	brosix
cakebrew	cakebrew
capture-one	captureone
cato-client	catoclient
cloudya	cloudya
code42	code42
container	container
cricut-design-space	cricutdesignspace
daylite	daylite
dedoose	dedoose
depnotify	depnotify
displaylink-manager	displaylinkmanager
docker	docker
dockutil	dockutil
doctolib	doctolib
dragonframe-2024	dragonframe2024
dragonframe-2025	dragonframe2025
dragonframe-5	dragonframe5
dstny	dstny
elevate24	elevate24
epos-connect	eposconnect
escrow-buddy	escrowbuddy
everweb	everweb
final-draft-12	finaldraft12
final-draft-13	finaldraft13
flowjo	flowjo
grammarly	grammarly
grasshopper	grasshopper
guardian-browser	guardianbrowser
homebrew	homebrew
huddly	huddly
hudl-sportscode	hudlsportscode
hudl-studio	hudlstudio
icons	icons
ipsw-updater	ipswupdater
jamf-connect-configuration	jamfconnectconfiguration
jamf-connect-login	jamfconnectlogin
jamf-pppc-utility	jamfpppcutility
jamf-printer-manager	jamfprintermanager
jamf-reenroller	jamfreenroller
jamfcheck	jamfcheck
jupyterlab	jupyterlab
lg-calibration-studio	lgcalibrationstudio
lucidlink	lucidlink
luna-display	lunadisplay
managed-app-schema-builder	managedappschemabuilder
masv	masv
mestrenova	mestrenova
microsoft-company-portal	microsoftcompanyportal
microsoft-powershell	microsoftpowershell
microsoft-skype-for-business	microsoftskypeforbusiness
mist-cli	mist-cli
mobile-to-local	mobiletolocal
network-share-mounter	networksharemounter
nextcloud-desktop-client	nextcloud
nodejs	nodejs
nvivo-14	nvivo14
nvivo-15	nvivo15
obs-studio	obs
onscreen-control	onscreencontrol
particulars	particulars
pique	pique
plantronics-hub	plantronicshub
poll-everywhere	polleverywhere
projectplace	projectplace
rhino-7	rhino7
rhino-8	rhino8
screencloud-player	screencloudplayer
signiant-app	signiantapp
sketchup-viewer	sketchupviewer
soundly	soundly
splashtop-sos	splashtopsos
strongdm	strongdm
surfdrive	surfdrive
sym-helper	symhelper
synology-active-backup-for-business-agent	synologyactivebackupforbusinessagent
synology-drive-client	synologydriveclient
teamwire	teamwire
things	things
trint	trint
ultracompare	ultracompare
universal-type-client	universaltypeclient
utiluti	utiluti
visualz	visualz
vivi	vivi
vonage-business	vonagebusiness
windsurf	windsurf
workbrew	workbrew
xink	xink
zerotier	zerotier
zoho-workdrive-genie	zohoworkdrivegenie
